x,y,z,cell_type,volume
232.5,22.5,-7.5,MCF7_core,2399.9531300099648
232.5,22.5,7.5,MCF7_core,522.0668874061623
232.5,37.5,-7.5,MCF7_core,1884.5627960195063
232.5,37.5,7.5,MCF7_core,4218.96833851319
232.5,52.5,-7.5,MCF7_core,3865.5466471146883
232.5,52.5,7.5,MCF7_core,1719.2795949366064
247.5,-52.5,-7.5,MCF7_core,3334.636818069734
247.5,-52.5,7.5,MCF7_core,4157.2440886871445
247.5,-37.5,-7.5,MCF7_core,3297.5897247600747
247.5,-37.5,7.5,MCF7_core,4215.905417796099
247.5,-22.5,-7.5,MCF7_core,1478.914769674872
247.5,-22.5,7.5,MCF7_core,1942.069765814412
247.5,-7.5,-7.5,MCF7_core,1391.4110992578526
247.5,-7.5,7.5,MCF7_core,4401.403677154348
247.5,7.5,-7.5,MCF7_core,4346.916194295471
247.5,7.5,7.5,MCF7_core,442.7147054574498
247.5,22.5,-7.5,MCF7_core,1342.8051230113272
247.5,22.5,7.5,MCF7_core,469.1943337979261
247.5,37.5,-7.5,MCF7_core,776.4219333973942
247.5,37.5,7.5,MCF7_core,2304.512381603661
247.5,52.5,-7.5,MCF7_core,3372.1195722444827
247.5,52.5,7.5,MCF7_core,2141.064257667259
262.5,-52.5,-7.5,MCF7_core,763.1554949490977
262.5,-52.5,7.5,MCF7_core,3297.5576027455095
262.5,-37.5,-7.5,MCF7_core,1743.5500498004203
262.5,-37.5,7.5,MCF7_core,3901.024212019855
262.5,-22.5,-7.5,MCF7_core,4239.813310900568
262.5,-22.5,7.5,MCF7_core,1029.3171620112055
262.5,-7.5,-7.5,MCF7_core,1918.8730821364834
262.5,-7.5,7.5,MCF7_core,4331.608414120878
262.5,7.5,-7.5,MCF7_core,1667.4102034364591
262.5,7.5,7.5,MCF7_core,1610.5424191993002
262.5,22.5,-7.5,MCF7_core,878.6721916442934
262.5,22.5,7.5,MCF7_core,253.41888003447534
262.5,37.5,-7.5,MCF7_core,1023.0449980723756
262.5,37.5,7.5,MCF7_core,3373.1183860371775
262.5,52.5,-7.5,MCF7_core,3677.5714452140064
262.5,52.5,7.5,MCF7_core,2149.4339153299575
277.5,-52.5,-7.5,MCF7_core,365.479238051522
277.5,-52.5,7.5,MCF7_core,1311.206309669723
277.5,-37.5,-7.5,MCF7_core,2231.989694986608
277.5,-37.5,7.5,MCF7_core,1397.5441663744662
277.5,-22.5,-7.5,MCF7_core,3152.8765287928645
277.5,-22.5,7.5,MCF7_core,1616.4138013270497
277.5,-7.5,-7.5,MCF7_core,1564.0326965503773
277.5,-7.5,7.5,MCF7_core,1251.5206854745365
277.5,7.5,-7.5,MCF7_core,1724.3798329141148
277.5,7.5,7.5,MCF7_core,3781.2983597811126
277.5,22.5,-7.5,MCF7_core,4445.978342231055
277.5,22.5,7.5,MCF7_core,2878.251383350011
277.5,37.5,-7.5,MCF7_core,336.0250692116141
277.5,37.5,7.5,MCF7_core,1234.0352342033425
277.5,52.5,-7.5,MCF7_core,1639.575700396507
277.5,52.5,7.5,MCF7_core,3586.7911904615453
292.5,-52.5,-7.5,MCF7_core,2927.784951210429
292.5,-52.5,7.5,MCF7_core,1925.197695950336
292.5,-37.5,-7.5,MCF7_core,1074.5288271146992
292.5,-37.5,7.5,MCF7_core,2262.070780510854
292.5,-22.5,-7.5,MCF7_core,1347.4469622294766
292.5,-22.5,7.5,MCF7_core,2786.73091142446
292.5,-7.5,-7.5,MCF7_core,1306.2466648244585
292.5,-7.5,7.5,MCF7_core,3756.989865546729
292.5,7.5,-7.5,MCF7_core,599.0752788835263
292.5,7.5,7.5,MCF7_core,2350.1612690600946
292.5,22.5,-7.5,MCF7_core,4221.295785763199
292.5,22.5,7.5,MCF7_core,583.5044139592412
292.5,37.5,-7.5,MCF7_core,3996.644290655621
292.5,37.5,7.5,MCF7_core,1371.6170585356908
292.5,52.5,-7.5,MCF7_core,1698.4511719359666
292.5,52.5,7.5,MCF7_core,4488.516780128336
